,states to learn
0,Colorado
1,Delaware
2,Georgia
3,Indiana
4,Iowa
5,Louisiana
6,Maryland
7,Minnesota
8,Montana
9,Oklahoma
10,Pennsylvania
11,Utah
12,Vermont
13,Virginia
14,West Virginia
